source_member,sha256,bytes,extension,category,disposition,reason
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_button/ui_key_or_arrow_small_button.png,8A70EF18582AA3D98BD6CA8E32D3790F2F169EA3F0EE43ACACC23F5A89471497,7558,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_icon/ui_icon_armor.png,29F71E2E65B31F0D3C1F0B6775482351C4837148E4D1773FAC4CB35127DC58F4,6300,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_icon/ui_icon_backpack.png,B247A2ABA7509D1797376B95136A2D7155D13CC8470EE7233ACF450EFA5A7413,6416,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_icon/ui_icon_bandage.png,8E5B26EB543E59A1B7D09BCDCC74803D1674BA4D3487C7FB10EE131FA5C18FE9,4341,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_icon/ui_icon_compass.png,016D4065BFBE7CA6406816F6BBA786C31F9D8CC2EACDD637A5257B822582E285,6890,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_panel/ui_frame_highlight.png,6A7B4D2BBC7A87236B11F52BEAA8568477428D86A288D987949EC11F1B5DD95D,19642,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_panel/ui_panel_deploy_main_blank.png,222F475C981FA20063686E3BA1C203A46E04B9B2DBE6C6CDD1C4B5827E9EF525,127236,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_deploy_panel/ui_panel_deploy_summary_blank.png,6893538A28D34001C2FFBF52DE811139936CAD2F24954A0588238A67DAEDFE75,18745,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_key_prompt/ui_key_e.png,819C31BC1070AC5C9832EEA32605584BC6D835ED952A40371AEC308F2379455A,3859,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/ui_key_prompt/ui_key_esc.png,9A9A580FE1A1FB7268A905FA1E04B12576048D1D963CBB02F097E41B821E4EAB,4957,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
